kilometraje,temperatura_motor,rpm,horas_uso,voltaje_bateria,marca,combustible,tipo_aceite,codigo_falla,requiere_mantenimiento
28742,94.4,874.0,2096.0,12.0,Suzuki,Gasolina,Mineral,P0420,1
172530,96.1,1233.0,1961.0,12.87,Hyundai,GNV,Sint'etico,P0420,1
147460,94.7,1625.0,1245.0,12.66,Toyota,Di'esel,Semisint'etico,P0420,1
102164,98.4,1749.0,1780.0,13.0,Nissan,Gasolina,Sint'etico,P0420,1
100933,110.2,1816.0,1240.0,12.61,Chevrolet,GNV,Mineral,P0420,1
190305,75.0,2017.0,835.0,13.16,Suzuki,GLP,Sint'etico,P0300,1
28048,94.9,1860.0,1482.0,12.58,Toyota,Gasolina,Sint'etico,P0300,1
156447,98.6,2472.0,806.0,13.13,Toyota,GNV,Sint'etico,P0171,1
52308,99.7,1696.0,2091.0,13.2,Chevrolet,GLP,Sint'etico,P0700,1
29777,93.7,1612.0,765.0,11.86,Suzuki,GLP,Semisint'etico,P0300,1
120560,81.2,2215.0,2441.0,11.05,Kia,GNV,Sint'etico,P0420,0
214880,100.0,1309.0,737.0,13.73,Nissan,Di'esel,Semisint'etico,P0700,1
164507,112.5,2175.0,1290.0,12.71,Suzuki,Di'esel,Semisint'etico,P0700,1
169839,,2046.0,1238.0,11.13,Suzuki,GLP,Semisint'etico,P0115,1
160670,104.8,1934.0,2993.0,11.93,Chevrolet,Gasolina,Mineral,P0420,1
175073,94.0,2715.0,2097.0,13.12,Nissan,Gasolina,Semisint'etico,P0171,1
117777,96.4,1720.0,1609.0,12.28,Chevrolet,GNV,Semisint'etico,P0420,1
36903,87.5,2927.0,2249.0,12.09,Nissan,Gasolina,Mineral,P0300,1
186347,94.0,1899.0,100.0,13.62,Chevrolet,GLP,Sint'etico,P0171,1
104581,108.7,1425.0,1761.0,11.66,Chevrolet,Di'esel,Mineral,P0562,1
115073,,2031.0,3598.0,11.86,Kia,Gasolina,Mineral,P0171,0
87867,112.6,1516.0,1919.0,12.67,Chevrolet,GLP,Sint'etico,P0115,1
48335,107.6,1662.0,1861.0,12.81,Nissan,GNV,Sint'etico,P0420,1
204620,101.0,2179.0,2293.0,12.9,Suzuki,Di'esel,Semisint'etico,P0171,1
174129,112.7,2250.0,2606.0,13.23,Chevrolet,Gasolina,Sint'etico,P0016,1
145211,101.0,1720.0,100.0,12.66,Toyota,Gasolina,Semisint'etico,P0700,1
94507,104.5,2444.0,286.0,12.89,Chevrolet,Gasolina,Mineral,P0171,0
182779,94.3,2521.0,1989.0,12.29,Hyundai,GNV,Semisint'etico,P0562,1
124540,97.6,2646.0,1157.0,12.55,Toyota,Di'esel,Sint'etico,P0420,1
103116,90.7,2238.0,2981.0,12.59,Toyota,Di'esel,Sint'etico,P0300,1
104596,105.9,2614.0,1516.0,12.67,Chevrolet,Gasolina,Mineral,P0016,1
57720,86.4,1154.0,100.0,13.12,Suzuki,Di'esel,Sint'etico,P0300,1
29348,104.0,1857.0,659.0,12.94,Chevrolet,GNV,Semisint'etico,P0171,0
126462,95.3,1610.0,100.0,12.54,Kia,Di'esel,Mineral,P0562,1
196456,107.5,2054.0,1589.0,11.85,Toyota,GLP,Sint'etico,P0420,1
23401,103.8,1743.0,1630.0,12.55,Nissan,Gasolina,Semisint'etico,P0300,1
190241,113.4,1925.0,1418.0,12.48,Toyota,Gasolina,Semisint'etico,P0171,1
183802,103.6,2847.0,2771.0,12.65,Suzuki,GLP,Sint'etico,P0700,1
68119,82.9,1924.0,2879.0,14.2,Nissan,Gasolina,Semisint'etico,P0115,1
142649,96.4,2186.0,1647.0,12.08,Suzuki,Di'esel,Semisint'etico,P0171,1
44698,86.5,1895.0,100.0,12.84,Hyundai,Di'esel,Sint'etico,P0300,1
169198,92.3,2034.0,2356.0,13.35,Toyota,Gasolina,Mineral,P0115,1
157109,110.6,2003.0,2300.0,12.58,Hyundai,GLP,Semisint'etico,P0300,1
84450,,2202.0,2078.0,14.2,Nissan,GNV,Sint'etico,P0562,0
24263,90.7,2524.0,2683.0,12.2,Hyundai,Gasolina,Mineral,P0016,0
213846,87.9,2741.0,752.0,12.76,Suzuki,GNV,Mineral,P0171,1
103594,97.3,2139.0,3608.0,11.86,Toyota,GLP,Sint'etico,P0420,1
197555,86.1,2265.0,937.0,12.22,Toyota,GLP,Sint'etico,P0300,1
152362,91.0,1482.0,2474.0,12.7,Hyundai,Gasolina,Semisint'etico,P0300,1
